iYLI649,iYali,iYLI21
13BDglcn_c,s_0001,m1123[C_cy]
ala_L_c,s_0955,m114[C_cy]
amp_c,s_0423,m86[C_cy]
arg_L_c,s_0965,m310[C_cy]
asn_L_c,s_0969,m319[C_cy]
asp_L_c,s_0973,m267[C_cy]
atp_c,s_0434,m141[C_cy]
chitin_c,s_0509,m401[C_cy]
cmp_c,s_0526,m95[C_cy]
cys_L_c,s_0981,m443[C_cy]
damp_c,s_0584,m89[C_cy]
dcmp_c,s_0589,m459[C_cy]
dgmp_c,s_0615,m465[C_cy]
dtmp_c,s_0649,m505[C_cy]
ergst_c,s_0668,m1000[C_cy]
gln_L_c,s_0999,m130[C_cy]
glu_L_c,s_0991,m50[C_cy]
gly_c,s_1003,m272[C_cy]
gmp_c,s_0782,m93[C_cy]
h2o_c,s_0803,m32[C_cy]
his_L_c,s_1006,m615[C_cy]
ile_L_c,s_1016,m743[C_cy]
leu_L_c,s_1021,m775[C_cy]
lys_L_c,s_1025,m793[C_cy]
mannan_c,s_1107,m1324[C_cy]
met_L_c,s_1029,m74[C_cy]
pa_SC_c,m378,m1705[C_lp]
pc_SC_c,s_3711,m1701[C_lp]
pe_SC_c,s_3712,m1700[C_lp]
phe_L_c,s_1032,m859[C_cy]
pro_L_c,s_1035,m765[C_cy]
ps_SC_c,s_3710,m1631[C_em]
ptd1ino_SC_c,m897,m1648[C_em]
ser_L_c,s_1039,m441[C_cy]
so4_c,s_1467,m964[C_cy]
thr_L_c,s_1045,m770[C_cy]
tre_c,s_1520,m294[C_cy]
triglyc_SC_c,m1640,m1640[C_lp]
trp_L_c,s_1048,m772[C_cy]
tyr_L_c,s_1051,m992[C_cy]
ump_c,s_1545,m149[C_cy]
val_L_c,s_1056,m1008[C_cy]
zymst_c,s_1569,m359[C_cy]
adp_c,s_0394,m143[C_cy]
h_c,s_0794,m10[C_cy]
pi_c,s_1322,m35[C_cy]
,s_0450,m1401[C_cy]
